State,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,34.8,35.8,31.6,34.6,34.9,33.7,32.3,33.6,32.1,31.0,31.7,31.2,30.8,31.2,29.9,31.6,30.3,27.4,25.9,26.3,26.0,24.5,24.3,23.8,24.2,22.8,22.5,22.4,21.7,21.3,21.0,20.7,20.4,19.0,19.1,18.9,18.7,18.4,18.3,17.9,17.5,17.5,17.4,17.0,16.8,16.4
Arunachal Pradesh,,,,,,,,,,,,34.2,35.4,34.5,35.5,40.2,36.3,40.0,35.6,30.1,30.9,26.6,28.0,28.5,23.8,21.9,21.4,22.5,22.3,22.3,22.2,20.2,18.9,21.2,23.3,22.5,22.2,21.8,21.1,20.5,19.8,19.4,19.3,19.2,18.8,18.9
Assam,38.5,36.4,33.3,32.8,30.1,32.8,30.1,30.8,33.8,31.9,33.0,34.2,34.7,35.3,34.3,34.7,34.2,32.9,29.4,29.7,30.9,30.8,29.5,30.8,29.3,27.6,28.2,27.9,27.0,26.9,27.0,26.6,26.3,25.1,25.0,24.6,24.3,23.9,23.6,23.2,22.8,22.5,22.4,22.4,22.0,21.7
Bihar,,,,,,,,,,,39.1,37.3,37.2,39.9,37.8,36.5,36.6,37.3,34.3,32.9,30.7,32.3,32.0,32.5,32.1,32.1,31.7,31.1,31.5,31.9,31.2,30.9,30.7,30.2,30.4,29.9,29.4,28.9,28.5,28.1,27.7,27.7,27.6,25.9,26.3,26.8
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,26.7,26.5,25.0,25.2,27.4,27.2,26.9,26.5,26.1,25.7,25.3,24.9,24.5,24.4,23.4,23.2,22.8
Delhi,33.6,30.3,29.5,31.2,27.0,28.6,27.3,25.7,26.7,28.3,26.9,28.7,27.7,31.0,32.8,29.5,30.4,28.6,27.2,23.9,24.7,26.0,22.7,24.8,23.3,21.6,21.1,19.4,20.3,20.3,18.9,17.2,17.3,18.4,18.6,18.4,18.1,18.4,18.1,17.8,17.5,17.3,17.2,16.8,16.4,15.5
Goa,26.2,25.0,24.9,24.1,23.4,24.4,19.9,21.0,19.6,18.1,15.5,21.4,21.3,20.7,18.5,20.2,18.9,17.7,15.7,15.8,16.8,14.7,14.7,14.3,14.7,14.4,14.2,14.3,14.3,14.3,14.2,14.0,13.9,13.8,14.8,15.1,14.7,13.6,13.5,13.2,13.3,13.1,13.0,12.9,12.7,12.9
Gujarat,40.0,40.2,35.4,38.4,37.0,37.4,36.1,35.8,34.9,35.8,34.5,34.3,34.2,33.4,33.0,32.2,30.8,29.5,28.7,29.6,27.5,28.1,28.0,27.1,26.7,25.7,25.6,25.5,25.4,25.2,25.0,24.7,24.6,24.3,23.7,23.5,23.0,22.6,22.3,21.8,21.3,21.1,20.8,20.6,20.4,20.1
Haryana,42.1,40.5,39.4,39.5,38.0,36.3,34.6,33.5,36.6,37.2,36.5,36.7,35.9,37.2,35.7,35.3,34.5,33.8,35.2,31.9,33.1,32.0,30.9,30.8,29.9,28.8,28.3,27.6,26.8,26.9,26.8,26.6,26.3,25.1,24.3,23.9,23.4,23.0,22.7,22.3,21.8,21.6,21.3,21.2,20.9,20.7
Himachal Pradesh,37.3,33.1,37.6,34.9,32.7,32.5,32.5,27.3,30.6,32.1,31.5,32.5,32.9,30.8,30.2,30.6,30.8,32.2,27.7,27.4,28.5,28.1,26.7,26.3,25.2,23.0,22.6,22.6,23.8,22.1,21.2,20.7,20.6,19.2,20.0,18.8,17.4,17.7,17.2,16.9,16.5,16.2,16.0,16.4,16.3,16.0
Jammu & Kashmir,31.6,32.5,29.2,31.9,32.1,31.6,31.8,31.1,31.3,31.6,30.7,32.0,33.5,33.6,33.4,31.0,33.1,30.1,31.4,,,,,,,,,19.9,20.9,19.6,20.2,19.2,18.6,18.7,18.9,18.7,19.0,18.8,18.6,18.3,17.8,17.6,17.5,16.8,16.2,15.7
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,26.5,26.2,26.4,26.3,26.2,26.8,26.2,26.1,25.8,25.6,25.3,24.6,24.7,24.6,23.8,23.5,22.9
Karnataka,31.7,31.5,28.9,28.0,27.7,29.4,26.3,29.2,28.1,27.6,28.3,27.9,29.1,30.3,29.6,29.0,28.9,28.7,28.0,28.0,26.9,26.3,25.5,25.0,24.1,23.0,22.7,22.0,22.3,22.0,22.3,22.1,21.8,20.9,20.6,20.1,19.9,19.8,19.5,19.2,18.8,18.5,18.3,18.1,17.9,17.6
Kerala,31.1,31.2,29.2,26.8,28.0,27.8,25.8,25.2,25.8,26.6,25.6,26.2,24.9,22.9,23.3,22.5,21.7,20.3,20.3,19.6,18.3,17.7,17.4,17.4,18.0,18.0,17.9,18.3,18.0,17.9,17.3,16.9,16.7,15.2,15.0,14.9,14.7,14.6,14.7,14.8,15.2,14.9,14.7,14.8,14.8,14.3
Madhya Pradesh,39.1,39.3,37.4,36.6,40.3,39.8,38.3,37.2,37.8,37.1,37.6,38.5,38.5,36.9,39.4,37.2,36.4,37.0,35.5,37.1,35.8,34.9,33.5,33.0,33.2,32.3,31.9,30.7,31.1,31.4,31.0,30.4,30.2,29.8,29.4,29.1,28.5,28.0,27.7,27.3,26.9,26.6,26.3,25.7,25.5,25.1
Maharashtra,32.2,32.2,28.8,29.0,29.7,29.3,26.2,26.9,27.2,29.3,28.5,29.8,29.8,31.1,29.0,30.1,28.9,29.4,28.5,27.5,26.2,25.3,25.2,25.1,24.5,23.4,23.1,22.5,21.1,21.0,20.7,20.3,19.9,19.1,19.0,18.5,18.1,17.9,17.6,17.1,16.7,16.6,16.5,16.5,16.3,15.9
Manipur,33.3,31.2,28.7,25.0,24.5,25.3,26.6,32.2,28.6,30.9,26.6,,28.8,29.1,28.5,25.7,25.9,25.8,22.8,21.1,20.1,19.5,20.5,21.7,20.6,19.6,19.7,19.0,18.6,18.3,18.3,16.8,15.5,13.9,14.7,13.4,14.6,15.8,15.4,14.9,14.4,14.6,14.7,14.6,14.4,12.9
Meghalaya,,,,,,33.5,32.5,32.0,33.2,31.2,32.6,31.1,30.0,38.3,39.1,35.4,34.9,36.4,31.9,31.8,32.4,29.8,28.5,29.5,29.0,30.4,30.2,29.2,28.7,28.5,28.3,25.8,24.7,25.2,25.1,24.7,24.4,25.2,24.4,24.5,24.1,24.1,23.9,24.1,23.7,23.7
